0x00000000004075ad: adc byte ptr [r8 + 1], cl; ret 0x2b49; 
0x00000000004075ae: adc byte ptr [rax + 1], cl; ret 0x2b49; 
0x00000000004012e1: adc byte ptr [rax - 0x16], 0xff; jmp qword ptr [rsi + 0x2e]; 
0x00000000004093d4: adc byte ptr [rax - 0x7d], cl; ret; 
0x0000000000409885: adc byte ptr [rcx - 0x7d], cl; ret 0x6630; 
0x000000000040748e: adc dword ptr [rbp + 0x60], esi; call rcx; 
0x000000000040ac0f: add al, 0x29; ret 0xd089; 
0x000000000040a6d7: add al, 0x83; ret 0xeb05; 
0x0000000000408a4a: add al, 0x83; ret 0xf301; 
0x000000000040abf9: add al, 0x83; ret; 
0x00000000004057eb: add al, 0x89; ret 0xe2c1; 
0x0000000000410c72: add al, 0xc2; ret; 
0x0000000000410c87: add al, 0xff; jmp qword ptr [rsi + 0xf]; 
0x0000000000410fe0: add bh, bh; jmp qword ptr [rsi + 0x66]; 
0x0000000000406471: add byte ptr [rax + 0x29], cl; ret 0x8548; 
0x0000000000401604: add byte ptr [rax + 0x29], cl; ret 0x8948; 
0x0000000000401420: add byte ptr [rax + 0x29], cl; ret; 
0x0000000000402fb7: add byte ptr [rax + 0x31077402], ch; jmp qword ptr [rsi - 0x77]; 
0x0000000000402f96: add byte ptr [rax + 0x39], cl; ret 0xf48; 
0x0000000000410c4f: add byte ptr [rax + 0xa9], bh; ret; 
0x000000000040146f: add byte ptr [rax - 0x77], cl; ret 0xb60f; 
0x0000000000406373: add byte ptr [rax - 0x7d], cl; ret 0x4008; 
0x000000000040e5a3: add byte ptr [rax - 0x7d], cl; ret 0x4104; 
0x000000000040f306: add byte ptr [rax - 0x7d], cl; ret 0x4801; 
0x0000000000411457: add byte ptr [rax - 1], bh; ret; 
0x0000000000411456: add byte ptr [rax - 1], dil; ret; 
0x0000000000404977: add byte ptr [rax - 2], bh; ret; 
0x0000000000404976: add byte ptr [rax - 2], dil; ret; 
0x000000000040d551: add byte ptr [rax - 3], bh; ret; 
0x000000000040770f: add byte ptr [rax - 6], bh; ret; 
0x0000000000406e82: add byte ptr [rax], al; call qword ptr [rbp + 0x40]; 
0x000000000040713e: add byte ptr [rax], al; call rax; 
0x0000000000406df1: add byte ptr [rax], al; call rcx; 
0x000000000040ff68: add byte ptr [rax], al; ret; 
0x0000000000410127: add byte ptr [rax], cl; ret; 
0x0000000000411a8d: add byte ptr [rax], r8b; ret; 
0x000000000040c07f: add byte ptr [rbp + 0x1483e04], cl; ret 0x47e9; 
0x000000000040fd90: add byte ptr [rbx + 0x634801c7], al; jmp qword ptr [rsi + 0xf]; 
0x0000000000405ee2: add byte ptr [rbx - 0x7af0fd08], al; ret; 
0x000000000040e56e: add byte ptr [rbx - 0x7cb7f839], al; ret 0x4904; 
0x000000000040fa56: add byte ptr [rcx + 1], al; ret 0xb70f; 
0x0000000000403eee: add byte ptr [rcx - 0x77], al; ret; 
0x00000000004042a8: add byte ptr [rcx], bh; ret 0x460f; 
0x0000000000412bca: add byte ptr [rcx], ch; ret 0x8941; 
0x000000000040b9c5: add byte ptr [rcx], ch; ret 0xc7e9; 
0x0000000000411bdc: add byte ptr [rcx], ch; ret 0xca39; 
0x00000000004030c5: add byte ptr [rcx], ch; ret 0xf789; 
0x000000000040b605: add byte ptr [rcx], ch; ret; 
0x000000000040f320: add cl, byte ptr [rax - 0x7d]; ret 0x4801; 
0x000000000040b05f: add cl, ch; ret; 
0x0000000000402fb9: add dh, byte ptr [rdi + rax + 0x31]; jmp qword ptr [rsi - 0x77]; 
0x000000000041062f: add dh, dh; ret 0x7401; 
0x0000000000401b34: add dword ptr [r8], r8d; ret; 
0x000000000040fd93: add dword ptr [rax + 0x63], ecx; jmp qword ptr [rsi + 0xf]; 
0x00000000004089fa: add dword ptr [rax - 0x76b7fcec], ecx; ret 0x8348; 
0x0000000000401b35: add dword ptr [rax], eax; ret; 
0x000000000040b98b: add dword ptr [rcx - 0x7d], ecx; ret; 
0x000000000040f750: add dword ptr [rcx], edi; ret 0x57d; 
0x0000000000401b32: add eax, 0x14569; ret; 
0x0000000000410c42: add eax, 0x7939; ret; 
0x0000000000404e7a: add eax, 6; ret; 
0x0000000000411892: add eax, dword ptr [rdi + 0x68]; ret; 
0x00000000004110eb: add eax, ecx; jmp rax; 
